PATIENT_SEEN_END_DATE,GEOGRAPHY,ORG_CODE,PARENTCODE1,PARENTCODE2,AGE,MEASURE,VALUE
30-Apr-18,NHS,UnA,,,0,CHILD_PSEEN,68
30-Apr-18,NHS,UnA,,,0,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,1,CHILD_PSEEN,519
30-Apr-18,NHS,UnA,,,1,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,10,CHILD_PSEEN,1891
30-Apr-18,NHS,UnA,,,10,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,11,CHILD_PSEEN,1727
30-Apr-18,NHS,UnA,,,11,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,12,CHILD_PSEEN,1702
30-Apr-18,NHS,UnA,,,12,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,13,CHILD_PSEEN,1690
30-Apr-18,NHS,UnA,,,13,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,14,CHILD_PSEEN,1636
30-Apr-18,NHS,UnA,,,14,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,15,CHILD_PSEEN,1454
30-Apr-18,NHS,UnA,,,15,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,16,CHILD_PSEEN,1406
30-Apr-18,NHS,UnA,,,16,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,17,CHILD_PSEEN,1301
30-Apr-18,NHS,UnA,,,17,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,2,CHILD_PSEEN,904
30-Apr-18,NHS,UnA,,,2,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,3,CHILD_PSEEN,1242
30-Apr-18,NHS,UnA,,,3,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,4,CHILD_PSEEN,1374
30-Apr-18,NHS,UnA,,,4,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,5,CHILD_PSEEN,1815
30-Apr-18,NHS,UnA,,,5,CHILD_POPULATION,.
