PATIENT_SEEN_END_DATE,GEOGRAPHY,ORG_CODE,PARENTCODE_1,PARENTCODE_2,PATIENT_TYPE,VALUE
30-Apr-18,NHS,UnA,,,ADULT_24_months,83765
30-Apr-18,NHS,UnA,,,ADULT_POPULATION,.
30-Apr-18,NHS,UnA,,,CHILD_12_months,26547
30-Apr-18,NHS,UnA,,,CHILD_POPULATION,.
30-Apr-18,NHS,UnA,,,TOTAL,110312
30-Apr-18,NHS,UnA,,,TOTAL_POPULATION,.
30-Apr-18,NHS,02N,Q72,Y54,ADULT_24_months,63381
30-Apr-18,NHS,02N,Q72,Y54,ADULT_POPULATION,125448
30-Apr-18,NHS,02N,Q72,Y54,CHILD_12_months,20817
30-Apr-18,NHS,02N,Q72,Y54,CHILD_POPULATION,34516
30-Apr-18,NHS,02N,Q72,Y54,TOTAL,84198
30-Apr-18,NHS,02N,Q72,Y54,TOTAL_POPULATION,159964
30-Apr-18,NHS,02P,Q72,Y54,ADULT_24_months,119509
30-Apr-18,NHS,02P,Q72,Y54,ADULT_POPULATION,191350
30-Apr-18,NHS,02P,Q72,Y54,CHILD_12_months,32908
30-Apr-18,NHS,02P,Q72,Y54,CHILD_POPULATION,49868
30-Apr-18,NHS,02P,Q72,Y54,TOTAL,152417
30-Apr-18,NHS,02P,Q72,Y54,TOTAL_POPULATION,241218
30-Apr-18,NHS,02Q,Q72,Y54,ADULT_24_months,54116
30-Apr-18,NHS,02Q,Q72,Y54,ADULT_POPULATION,92003
30-Apr-18,NHS,02Q,Q72,Y54,CHILD_12_months,13395
30-Apr-18,NHS,02Q,Q72,Y54,CHILD_POPULATION,22844
30-Apr-18,NHS,02Q,Q72,Y54,TOTAL,67511
30-Apr-18,NHS,02Q,Q72,Y54,TOTAL_POPULATION,114847
30-Apr-18,NHS,02R,Q72,Y54,ADULT_24_months,116038
30-Apr-18,NHS,02R,Q72,Y54,ADULT_POPULATION,250009
30-Apr-18,NHS,02R,Q72,Y54,CHILD_12_months,45497
30-Apr-18,NHS,02R,Q72,Y54,CHILD_POPULATION,89649
30-Apr-18,NHS,02R,Q72,Y54,TOTAL,161535
30-Apr-18,NHS,02R,Q72,Y54,TOTAL_POPULATION,339658
30-Apr-18,NHS,02T,Q72,Y54,ADULT_24_months,91378
30-Apr-18,NHS,02T,Q72,Y54,ADULT_POPULATION,163587
30-Apr-18,NHS,02T,Q72,Y54,CHILD_12_months,29318
30-Apr-18,NHS,02T,Q72,Y54,CHILD_POPULATION,46183
30-Apr-18,NHS,02T,Q72,Y54,TOTAL,120696
30-Apr-18,NHS,02T,Q72,Y54,TOTAL_POPULATION,209770
30-Apr-18,NHS,02W,Q72,Y54,ADULT_24_months,43686
30-Apr-18,NHS,02W,Q72,Y54,ADULT_POPULATION,58514
30-Apr-18,NHS,02W,Q72,Y54,CHILD_12_months,23527
30-Apr-18,NHS,02W,Q72,Y54,CHILD_POPULATION,26390
30-Apr-18,NHS,02W,Q72,Y54,TOTAL,67213
